parent1,child1,parent1@gmail.com,parent1,1,0
parent2,child2,parent2@gmail.com,parent2,1,0
parent3,child3,parent3@gmail.com,parent3,1,0
parent4,child4,parent4@gmail.com,parent4,1,0
parent5,child5,parent5@gmail.com,parent5,1,0
parent6,child6,parent6@gmail.com,parent6,1,0
parent7,child7,parent7@gmail.com,parent7,1,0
parent8,child8,parent8@gmail.com,parent8,1,0
parent9,child9,parent9@gmail.com,parent9,1,0
parent10,child10,parent10@gmail.com,parent10,1,0
parent11,child11,parent11@gmail.com,parent11,1,0
parent12,child12,parent12@gmail.com,parent12,1,0
parent13,child13,parent13@gmail.com,parent13,1,0
parent14,child14,parent14@gmail.com,parent14,1,0
parent15,child15,parent15@gmail.com,parent15,1,0
parent16,child16,parent16@gmail.com,parent16,1,0
parent17,child17,parent17@gmail.com,parent17,1,0
parent18,child18,parent18@gmail.com,parent18,1,0
parent19,child19,parent19@gmail.com,parent19,1,0
parent20,child20,parent20@gmail.com,parent20,1,0
parent21,child21,parent21@gmail.com,parent21,1,0
parent22,child22,parent22@gmail.com,parent22,1,0
parent23,child23,parent23@gmail.com,parent23,1,0
parent24,child24,parent24@gmail.com,parent24,1,0
parent25,child25,parent25@gmail.com,parent25,1,0
parent26,child26,parent26@gmail.com,parent26,1,0
parent27,child27,parent27@gmail.com,parent27,1,0
parent28,child28,parent28@gmail.com,parent28,1,0
parent29,child29,parent29@gmail.com,parent29,1,0
parent30,child30,parent30@gmail.com,parent30,1,0
parent31,child31,parent31@gmail.com,parent31,1,0
parent32,child32,parent32@gmail.com,parent32,1,0
parent33,child33,parent33@gmail.com,parent33,1,0
parent34,child34,parent34@gmail.com,parent34,1,0
parent35,child35,parent35@gmail.com,parent35,1,0
parent36,child36,parent36@gmail.com,parent36,1,0
parent37,child37,parent37@gmail.com,parent37,1,0
parent38,child38,parent38@gmail.com,parent38,1,0
parent39,child39,parent39@gmail.com,parent39,1,0
parent40,child40,parent40@gmail.com,parent40,1,0
parent41,child41,parent41@gmail.com,parent41,1,0
parent42,child42,parent42@gmail.com,parent42,1,0
parent43,child43,parent43@gmail.com,parent43,1,0
parent44,child44,parent44@gmail.com,parent44,1,0
parent45,child45,parent45@gmail.com,parent45,1,0
parent46,child46,parent46@gmail.com,parent46,1,0
parent47,child47,parent47@gmail.com,parent47,1,0
parent48,child48,parent48@gmail.com,parent48,1,0
parent49,child49,parent49@gmail.com,parent49,1,0
parent50,child50,parent50@gmail.com,parent50,1,0
parent51,child51,parent51@gmail.com,parent51,1,0
parent52,child52,parent52@gmail.com,parent52,1,0
parent53,child53,parent53@gmail.com,parent53,1,0
parent54,child54,parent54@gmail.com,parent54,1,0
parent55,child55,parent55@gmail.com,parent55,1,0
parent56,child56,parent56@gmail.com,parent56,1,0
parent57,child57,parent57@gmail.com,parent57,1,0
parent58,child58,parent58@gmail.com,parent58,1,0
parent59,child59,parent59@gmail.com,parent59,1,0
parent60,child60,parent60@gmail.com,parent60,1,0
parent61,child61,parent61@gmail.com,parent61,1,0
parent62,child62,parent62@gmail.com,parent62,1,0
parent63,child63,parent63@gmail.com,parent63,1,0
parent64,child64,parent64@gmail.com,parent64,1,0
parent65,child65,parent65@gmail.com,parent65,1,0
parent66,child66,parent66@gmail.com,parent66,1,0
parent67,child67,parent67@gmail.com,parent67,1,0
